rname,usgs,ec,nws,ratio,depth,width,max_dist
clowhom,,08GB013,,32.3873,10.0,2.0,0.2
squamish,,08GA022,,2.3449,5.0,2.0,0.2
fraser,,08MF005,,1.0848,10.0,5.0,1.0
tsolum,,08HB011,,2.986,5.0,2.0,0.03
oyster,,08HD011,,2.986,5.0,2.0,0.02
englishman,,08HB002,,4.93,5.0,2.0,0.04
cowichan,,08HA011,,2.0531,5.0,2.0,0.04
nanaimo,,08HB034,,2.0531,5.0,2.0,0.05
nooksack,12213100,,NKSW1,0.9540000000000001,5.0,2.0,0.1
samish,12201500,,SMRW1,1.8864,5.0,2.0,0.1
sanjuan,,08HA010,,6.237,5.0,2.0,0.06
sarita,,08HB014,,1.0,5.0,2.0,0.04
gold,,08HC001,,1.0,5.0,2.0,0.08
hoko,12043300,,,2.7032,5.0,2.0,0.02
elwha,12045500,,ELWW1,1.09,5.0,2.0,0.03
dungeness,12048000,,,1.1686,5.0,2.0,0.02
dosewallips,12054000,,,1.4294,5.0,2.0,0.1
duckabush,12054000,,,1.1404,5.0,2.0,0.1
hamma,12061500,,,0.4459,5.0,2.0,0.1
skokomish,12061500,,SRPW1,1.081,5.0,2.0,0.1
deschutes,12080010,,,1.0384,5.0,2.0,0.1
nisqually,12089500,,MKNW1,1.2229999999999999,5.0,2.0,0.1
puyallup,12101500,,PUYW1,1.0444,5.0,2.0,0.2
green,12113000,,AUBW1,1.1936,5.0,2.0,0.2
cedar,12119000,,RNTW1,2.5766,5.0,2.0,0.2
snohomish,12150800,,MROW1,1.0894,5.0,2.0,0.3
stillaguamish,12167000,,ARGW1,2.4598,5.0,2.0,0.3
skagit,12200500,,MVEW1,1.0096,5.0,2.0,0.4
calawah,12043000,,,4.8605,5.0,2.0,0.15
hoh,12041200,,,1.1779,5.0,2.0,0.15
queets,12040500,,,1.0135,5.0,2.0,0.2
quinault,12039500,,,1.6477,5.0,2.0,0.15
humptulips,12039005,,,1.8712,5.0,2.0,0.1
chehalis,12031000,,CRPW1,1.6383,5.0,2.0,0.45
willapa,12013500,,WILW1,1.9846,5.0,2.0,0.4
naselle,12010000,,NASW1,2.5365,5.0,2.0,0.3
columbia,14246900,,,1.0062,12.0,6.0,2.0
nehalem,14301000,,,1.2774,5.0,2.0,0.15
wilson,12076800,,,0.0594,5.0,2.0,0.1
nestucca,14303600,,,1.4167,5.0,2.0,0.1
siletz,14305500,,,1.505,5.0,2.0,0.1
alsea,14306500,,,1.4102,5.0,2.0,0.12
siuslaw,14307620,,,1.3163,5.0,2.0,0.15
umpqua,14321000,,,1.268,5.0,2.0,0.3
coquille,14325000,,,6.2722,5.0,2.0,0.15
nf_skokomish,12059500,,,1.0,5.0,2.0,0.1
sf_skokomish,12060500,,,1.0,5.0,2.0,0.1
